Municipio,SO_2,CO,NOx,PM_010,PM_2_5
ACAJETE,2.065,379.12600000000003,307.363,35.281,30.503
ACATLAN,0.6329999999999999,129.454,563.3430000000001,12.73,9.766
ACAYUCAN,38.452,5202.664,1585.172,431.291,348.892
ACTOPAN,25.147,2768.427,880.508,320.57300000000004,242.707
ACULA,2.988,226.994,364.18,40.919000000000004,29.187
ACULTZINGO,7.035,1124.7199999999998,758.157,127.262,108.101
AGUA DULCE,17.945000000000004,3145.219,3588.7169999999996,105.634,87.285
ALAMO TEMAPACHE,14.237,3373.498,888.918,703.117,468.264
ALPATLAHUAC,1.924,494.01000000000005,514.0409999999999,63.528999999999996,52.525
ALTO LUCERO DE GUTIERREZ BARRIOS,8.841,1582.65,361.587,168.186,123.315
ALTOTONGA,18.451999999999998,3083.6440000000002,1086.458,368.916,304.282
ALVARADO,13.012,1791.606,543.097,114.74900000000001,66.816
AMATITLAN,7.691,447.714,803.226,90.96099999999998,65.262
AMATLAN DE LOS REYES,40.13,1897.673,1687.411,199.23499999999999,174.024
ANGEL R. CABADA,19.773,1969.1350000000002,868.9739999999999,228.249,179.151
APAZAPAN,20.25,931.459,6214.7970000000005,36.705,26.486
AQUILA,0.47299999999999986,114.753,585.962,16.990000000000002,14.064
ASTACINGA,2.0239999999999996,443.731,1023.3480000000001,53.43,47.048
ATLAHUILCO,2.675,659.866,519.431,71.88,65.31099999999999
ATOYAC,70.318,1540.346,1583.256,3246.334,1884.214
ATZACAN,7.032,861.875,1153.568,95.73599999999999,82.75
ATZALAN,12.722999999999997,2853.381,1183.106,404.261,303.94899999999996
AYAHUALULCO,7.268,1453.107,629.531,198.302,158.997
BANDERILLA,16.183999999999997,1160.872,1097.376,86.142,78.777
BENITO JUAREZ,4.357,1024.24,767.103,183.94799999999998,129.085
BOCA DEL RIO,67.726,9525.678999999996,5038.618,214.302,197.01
CALCAHUALCO,3.111,734.148,292.711,88.67399999999998,77.07999999999998
CAMARON DE TEJEDA,4.678,531.422,1029.581,79.866,62.669
CAMERINO Z. MENDOZA,7.711,1502.594,240.58,79.132,74.474
CARLOS A. CARRILLO,13.959,981.339,729.302,139.902,103.70400000000001
CARRILLO PUERTO,16.619,1971.5140000000001,1136.808,198.06,168.219
CASTILLO DE TEAYO,5.71,1145.1779999999999,1149.9799999999998,179.909,116.772
CATEMACO,10.401,2065.381,399.87699999999995,200.694,162.833
CAZONES DE HERRERA,6.207,1269.253,798.9029999999999,163.36,128.121
CERRO AZUL,10.293,1343.883,605.262,62.346999999999994,51.791
CHACALTIANGUIS,9.829,797.091,1746.44,123.39399999999999,89.796
CHALMA,2.649,637.148,681.074,95.524,73.92
CHICONAMEL,1.289,328.365,511.72400000000005,53.903,41.643
CHICONQUIACO,21.702,1064.1190000000001,918.814,168.373,126.23600000000002
CHICONTEPEC,15.818000000000001,3499.556,1069.54,572.054,410.05600000000004
CHINAMECA,64.366,882.2410000000001,523.363,84.584,65.85
CHINAMPA DE GOROSTIZA,2.8560000000000003,596.068,149.588,62.456,54.48
CHOCAMAN,4.930000000000001,749.778,1028.7140000000002,81.875,71.182
CHONTLA,3.753,846.183,313.091,106.863,92.89200000000001
CHUMATLAN,0.9619999999999997,245.214,623.917,36.785000000000004,29.394
CITLALTEPETL,2.33,568.902,240.5,63.3,59.209
COACOATZINTLA,1.981,421.90700000000004,151.775,38.19,32.493
COAHUITLAN,1.6269999999999998,431.30400000000003,443.257,66.233,53.544000000000004
COATEPEC,1005.023,4211.651,1908.1429999999996,1081.0399999999997,672.914
COATZACOALCOS,1013.128,20574.21,12631.067,1296.148,1227.752
COATZINTLA,19.481,2442.555,1170.0729999999999,168.462,135.06
COETZALA,0.5449999999999999,116.36,1003.791,15.331999999999999,13.197999999999999
COLIPA,1.446,357.239,249.889,41.737,33.885999999999996
COMAPA,7.472,1431.763,470.483,181.615,146.49200000000002
CORDOBA,293.782,11154.372,4519.237,1559.3899999999999,1081.176
COSAMALOAPAN DE CARPIO,840.016,4323.617,2161.49,5673.584000000001,3315.162
COSAUTLAN DE CARVAJAL,5.1339999999999995,993.6339999999999,1139.274,103.455,89.586
COSCOMATEPEC,10.689,2378.6189999999997,1047.0929999999998,248.773,212.94299999999998
COSOLEACAQUE,170.792,4334.698,1525.0659999999998,380.951,352.875
COTAXTLA,11.826,1521.58,946.721,201.105,146.457
COXQUIHUI,3.314,866.625,1174.918,115.074,97.94500000000001
COYUTLA,5.8,1367.7160000000001,754.01,181.26299999999998,144.303
CUICHAPA,133.74,1190.409,1544.2130000000002,3569.717,2056.532
CUITLAHUAC,17.13,1739.529,1233.917,1202.662,727.3
EL HIGO,33.654,2248.177,1352.7959999999998,4477.654,2616.854
EMILIANO ZAPATA,18.740000000000002,2787.848,1169.0639999999999,187.05,142.164
ESPINAL,7.233,1603.509,994.501,201.959,162.02100000000002
FILOMENO MATA,2.461,681.2660000000001,1193.966,85.35499999999998,77.732
FORTIN,97.36399999999998,2611.867,1569.135,122.42999999999999,106.556
GUTIERREZ ZAMORA,6.695,1087.974,974.92,119.764,84.77199999999999
HIDALGOTITLAN,5.469,1262.223,259.724,236.51,141.202
HUATUSCO,17.986,2867.941,776.655,258.898,216.05
HUAYACOCOTLA,5.393,1141.329,435.144,169.06,132.248
HUEYAPAN DE OCAMPO,28.104999999999997,3178.047,982.717,683.6859999999999,478.221
HUILOAPAN DE CUAUHTEMOC,9.197999999999999,368.178,344.238,62.292,57.405
IGNACIO DE LA LLAVE,3.6929999999999996,832.971,382.24600000000004,98.435,69.389
ILAMATLAN,2.771,771.9359999999998,560.21,109.387,92.551
ISLA,21.807,2903.765,1303.624,255.14000000000001,190.218
IXCATEPEC,3.311,839.3820000000001,990.861,121.444,98.449
IXHUACAN DE LOS REYES,2.2479999999999998,575.3340000000001,391.602,68.67800000000001,59.958
IXHUATLAN DE MADERO,14.437000000000001,3352.82,892.226,509.993,404.831
IXHUATLAN DEL CAFE,4.874,1139.618,1038.9950000000001,127.491,108.224
IXHUATLAN DEL SURESTE,69.397,607.521,208.899,491.178,151.346
IXHUATLANCILLO,3.919,737.0409999999999,354.739,51.668,48.064
IXMATLAHUACAN,5.05,276.502,472.76399999999995,76.62899999999998,52.849999999999994
IXTACZOQUITLAN,3512.547,6405.28,3193.654,1474.801,1020.7979999999998
JALACINGO,40.445,2632.022,1667.912,431.70899999999995,290.495
JALCOMULCO,1.1520000000000001,222.743,980.365,30.834,24.724
JALTIPAN,12.742999999999999,1868.725,785.0429999999999,177.703,133.18699999999998
JAMAPA,4.002000000000001,743.196,931.2609999999999,74.25500000000001,58.953
JESUS CARRANZA,14.412999999999998,2299.695,611.574,308.895,191.511
JILOTEPEC,4.246,545.752,516.55,51.988,41.230999999999995
JOSE AZUETA,19.71,2327.4100000000003,1229.5949999999998,259.68899999999996,190.993
JUAN RODRIGUEZ CLARA,12.269,2001.932,842.989,214.50300000000001,163.14000000000001
JUCHIQUE DE FERRER,4.245,906.7139999999999,372.457,105.241,83.238
LA ANTIGUA,15.413,2063.971,1083.395,2006.2549999999999,1168.614
LA PERLA,6.386,1227.154,262.592,146.62699999999998,129.509
LANDERO Y COSS,0.451,102.495,642.3870000000001,10.065,8.161
LAS CHOAPAS,26.740000000000002,4910.946,2703.0989999999997,559.204,350.201
LAS MINAS,0.59,155.356,721.069,22.156000000000002,18.451
LAS VIGAS DE RAMIREZ,5.7780000000000005,1001.783,840.663,102.242,88.858
LERDO DE TEJADA,39.835,1237.4389999999999,772.614,2297.1580000000004,1326.49
LOS REYES,1.1360000000000001,318.85900000000004,395.994,40.569,36.478
MAGDALENA,9.92,949.5749999999999,92.16,375.402,343.616
MALTRATA,10.041,1427.582,712.39,259.49899999999997,229.861
MANLIO FABIO ALTAMIRANO,16.115,1768.6879999999999,727.356,248.11100000000002,186.96400000000003
MARIANO ESCOBEDO,15.898,1737.453,732.972,206.217,169.07
MARTINEZ DE LA TORRE,766.262,5039.89,2445.872,396.124,273.807
MECATLAN,2.3869999999999996,646.607,1261.313,87.644,75.71100000000001
MECAYAPAN,4.894,1179.677,402.982,165.083,133.04000000000002
MEDELLIN DE BRAVO,28.302000000000003,3355.072,1916.129,387.002,341.272
MIAHUATLAN,0.9809999999999999,225.856,289.117,23.129,19.206999999999997
MINATITLAN,16518.049,22867.965999999997,5966.333,1333.718,917.432
MISANTLA,16.367,3151.881,929.935,327.701,246.032
MIXTLA DE ALTAMIRANO,2.4339999999999997,670.975,781.0070000000001,88.56099999999998,80.346
MOLOACAN,4.005999999999999,847.508,1043.943,53.733999999999995,41.816
NANCHITAL DE LAZARO CARDENAS DEL RIO,20.789,2359.1949999999997,1408.8029999999999,289.312,273.175
NAOLINCO,9.978,932.959,833.0260000000001,98.703,74.876
NARANJAL,1.224,224.255,736.663,24.576,21.753
NARANJOS AMATLAN,7.616,1197.615,366.118,58.869,48.980999999999995
NAUTLA,2.7489999999999997,473.808,300.697,59.308,39.638999999999996
NOGALES,10.732000000000001,1698.225,663.379,118.032,101.92
OLUTA,5.62,673.729,341.348,53.004000000000005,45.586999999999996
OMEALCA,28.916,2256.803,1221.732,366.585,289.142
ORIZABA,500.997,6707.705,2419.423,188.92299999999997,173.141
OTATITLAN,5.305,370.12,1399.942,62.782,46.291999999999994
OTEAPAN,2.676,623.165,559.217,51.964999999999996,47.534
OZULUAMA DE MASCARENAS,11.760000000000002,1305.706,518.494,229.735,159.275
PAJAPAN,4.156,1081.771,159.445,141.205,119.131
PANUCO,108.551,6054.474999999999,2011.272,1075.7930000000001,747.7489999999999
PAPANTLA,53.117,8746.817,2046.2179999999998,1207.2369999999999,929.673
PASO DE OVEJAS,16.54,1851.946,1251.027,214.888,165.713
PASO DEL MACHO,37.477000000000004,2738.452,1819.013,2041.203,1249.037
PEROTE,783.2420000000001,2766.8,1378.083,588.606,379.626
PLATON SANCHEZ,3.751,818.988,231.976,120.91499999999999,89.628
PLAYA VICENTE,19.765,3603.595,757.848,354.187,247.74699999999999
POZA RICA DE HIDALGO,119.299,13395.253,8980.939,513.357,472.271
PUEBLO VIEJO,13.669,1720.4399999999998,586.453,123.054,103.51599999999998
RAFAEL DELGADO,4.5,818.767,419.68699999999995,74.435,69.465
RAFAEL LUCIO,2.3360000000000003,210.941,175.559,16.31,13.632
RIO BLANCO,9.556999999999999,1686.9350000000002,457.884,29.85,27.219
SALTABARRANCA,4.242,379.915,418.70399999999995,46.613,35.092
SAN ANDRES TENEJAPAN,0.48000000000000004,131.958,163.78,15.408,13.809
SAN ANDRES TUXTLA,40.737,7848.071,1344.29,823.935,701.398
SAN JUAN EVANGELISTA,10.617,1980.95,556.112,282.025,189.68099999999998
SAN RAFAEL,9.280999999999999,1202.595,1155.395,117.966,79.497
SANTIAGO SOCHIAPAN,4.0,925.7980000000001,517.057,126.80999999999999,103.22500000000001
SANTIAGO TUXTLA,12.713,2727.429,952.9300000000001,309.28700000000003,261.966
SAYULA DE ALEMAN,8.803,1526.5790000000002,439.164,189.27900000000002,134.40200000000002
SOCHIAPA,1.671,246.02,1135.962,29.189999999999998,24.388
SOCONUSCO,3.896,661.357,896.8589999999999,59.516,47.18
SOLEDAD ATZOMPA,5.553,1306.527,505.462,156.537,141.826
SOLEDAD DE DOBLADO,9.608,1711.0269999999998,965.622,164.97799999999998,131.322
SOTEAPAN,10.654,2512.274,620.36,411.446,311.26500000000004
TAMALIN,1.9629999999999999,485.00300000000004,130.724,55.236000000000004,45.574999999999996
TAMIAHUA,4.836,1091.6009999999999,178.401,167.523,121.161
TAMPICO ALTO,2.976,473.649,261.957,61.284,41.083
TANCOCO,1.1429999999999998,291.801,98.622,34.325,28.769000000000002
TANTIMA,2.952,697.783,202.80399999999997,89.98599999999998,78.353
TANTOYUCA,26.944,5671.277,883.8710000000001,675.0070000000001,578.433
TATAHUICAPAN DE JUAREZ,4.479,1080.282,166.089,161.109,127.98599999999999
TATATILA,1.148,292.873,236.288,41.13,33.07
TECOLUTLA,6.594,1224.165,714.75,151.00799999999998,106.653
TEHUIPANGO,4.805,1279.979,904.437,164.38299999999998,148.581
TEMPOAL,16.981,2185.373,492.37,309.753,249.525
TENAMPA,2.194,463.28499999999997,647.262,48.986000000000004,40.695
TENOCHTITLAN,1.165,298.33,315.307,37.843,30.433
TEOCELO,3.213,619.846,721.8729999999999,54.318999999999996,46.423
TEPATLAXCO,2.465,487.69699999999995,765.192,60.87,51.150999999999996
TEPETLAN,3.133,535.984,313.868,66.612,54.708000000000006
TEPETZINTLA,3.0669999999999997,696.8019999999999,253.471,85.661,71.56400000000001
TEQUILA,3.274,835.567,334.115,105.98299999999999,91.09399999999998
TEXCATEPEC,2.3299999999999996,606.889,598.0340000000001,97.86999999999999,78.17299999999999
TEXHUACAN,1.318,311.50899999999996,649.636,39.999,34.602
TEXISTEPEC,5.734,1198.828,606.187,208.172,143.323
TEZONAPA,51.787,4967.868,1483.49,4502.372,2704.598
TIERRA BLANCA,425.779,8174.438,2769.5150000000003,1203.133,989.06
TIHUATLAN,36.177,4761.197,2212.358,597.531,504.283
TLACHICHILCO,2.663,644.891,576.48,129.03300000000002,88.29299999999999
TLACOJALPAN,6.203,397.996,1323.232,88.44800000000001,62.521
TLACOLULAN,2.321,531.4209999999999,312.31,67.15599999999999,54.272000000000006
TLACOTALPAN,7.8999999999999995,634.055,419.74199999999996,100.47,64.64099999999999
TLACOTEPEC DE MEJIA,3.924,387.56600000000003,571.456,56.121,44.599
TLALIXCOYAN,15.741,2022.607,758.5799999999999,226.311,148.09799999999998
TLALNELHUAYOCAN,2.0060000000000002,468.154,463.86699999999996,35.32,31.036
TLALTETELA,8.74,1045.949,830.1809999999999,152.733,120.181
TLAPACOYAN,12.996,2360.87,982.375,182.328,147.712
TLAQUILPA,1.777,453.139,434.096,52.650999999999996,46.916
TLILAPAN,1.626,229.333,178.11599999999999,20.954,19.748
TOMATLAN,1.8929999999999996,294.988,792.8480000000001,24.131999999999998,20.45
TONAYAN,1.109,271.825,64.51899999999999,31.878,26.634
TOTUTLA,33.061,1553.4830000000002,1863.6909999999998,399.156,194.82
TRES VALLES,51.059,4432.921,2092.0389999999998,626.749,498.842
TUXPAN,86827.966,10002.372000000001,10385.622999999998,6609.604,5390.459000000001
TUXTILLA,1.6420000000000001,125.825,518.588,22.688,16.877
URSULO GALVAN,27.199,2648.223,1532.7089999999998,2989.588,1758.415
UXPANAPA,8.178,1745.394,354.159,251.093,172.436
VEGA DE ALATORRE,4.864,863.92,460.47400000000005,62.907,46.989999999999995
VERACRUZ,290.29,34198.811,9499.144,1188.0130000000001,1023.141
VILLA ALDAMA,3.9450000000000003,462.28000000000003,1249.19,59.79,46.494
XALAPA,422.435,26406.089,7335.165,771.068,704.4309999999999
XICO,7.567000000000001,1400.5769999999998,346.351,123.771,106.222
XOXOCOTLA,1.254,359.85200000000003,705.425,45.830999999999996,38.617
YANGA,19.869,1311.26,1560.728,181.65699999999998,149.961
YECUATLA,2.908,695.544,254.907,70.796,60.489000000000004
ZACUALPAN,1.731,427.16200000000003,518.151,62.468,51.519999999999996
ZARAGOZA,1.76,456.791,577.838,52.234,44.682
ZENTLA,13.718,1159.918,1355.13,182.684,142.74800000000002
ZONGOLICA,10.79,2479.807,767.821,334.731,272.379
ZONTECOMATLAN DE LOPEZ Y FUENTES,3.536,873.797,416.75,140.64800000000002,111.473
ZOZOCOLCO DE HIDALGO,3.0229999999999997,750.424,965.5899999999999,97.293,87.32199999999997
